Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
media_leaf,media-leaf-3,Ethernet20,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet21,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet22,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet23,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet24,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet25,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet26,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet27,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet28,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet29,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet30,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet31,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet32,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet33,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet34,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet35,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet36,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet37,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet38,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet39,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet40,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet41,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet42,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet43,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet44,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet45,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet46,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet47,network_port,mcs senders/receivers,,True
media_leaf,media-leaf-3,Ethernet48,network_port,mcs senders/receivers,,True
